#archivo datos para DisjuntivoMultietapaFull
#param: T:  nomeT     alpha:=
T= [
         1  Stage1  1
		 2  Stage2  0.729
		 3  Stage3  0.478
]
#param: S:  nomeS     ProbS:=
S= [
       1  Medio      1
]		 

#param: Ob:     nome  tipo  :=
barras= [
1	Barra_1	1
2	Barra_2	0
3	Barra_3	0
4	Barra_4	0
5	Barra_5	0
6	Barra_6	0
7	Barra_7	0
8	Barra_8	0
9	Barra_9	0
10	Barra_10	0
11	Barra_11	0
12	Barra_12	0
13	Barra_13	0
14	Barra_14	0
15	Barra_15	0
16	Barra_16	0
17	Barra_17	0
18	Barra_18	0
19	Barra_19	0
20	Barra_20	0
21	Barra_21	0
22	Barra_22	0
23	Barra_23	0
24	Barra_24	0		 
]		 
#param d[*,*,*]:	    1   =   ((B,T),S)
dem= [
1	1	324
2	1	291
3	1	540
4	1	222
5	1	213
6	1	408
7	1	375
8	1	523
9	1	525
10	1	585
11	1	0
12	1	0
13	1	795
14	1	582
15	1	951
16	1	300
17	1	0
18	1	999
19	1	543
20	1	384
21	1	0
22	1	0
23	1	0
24	1	0
1	2	340
2	2	306
3	2	567
4	2	233
5	2	224
6	2	428
7	2	394
8	2	549
9	2	551
10	2	614
11	2	0
12	2	0
13	2	835
14	2	611
15	2	999
16	2	315
17	2	0
18	2	1049
19	2	570
20	2	403
21	2	0
22	2	0
23	2	0
24	2	0
1	3	357
2	3	321
3	3	595
4	3	245
5	3	235
6	3	450
7	3	413
8	3	577
9	3	579
10	3	645
11	3	0
12	3	0
13	3	876
14	3	642
15	3	1048
16	3	331
17	3	0
18	3	1101
19	3	599
20	3	423
21	3	0
22	3	0
23	3	0
24	3	0
]
#param gmax[*,*,*]:   1 :=
gmax= [
1	1	576
2	1	576
3	1	0
4	1	0
5	1	0
6	1	0
7	1	900
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	1773
14	1	0
15	1	645
16	1	465
17	1	0
18	1	1200
19	1	0
20	1	0
21	1	1200
22	1	900
23	1	1980
24	1	0
1	2	605
2	2	605
3	2	0
4	2	0
5	2	0
6	2	0
7	2	945
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	1862
14	2	0
15	2	677
16	2	488
17	2	0
18	2	1260
19	2	0
20	2	0
21	2	1260
22	2	945
23	2	2079
24	2	0
1	3	635
2	3	635
3	3	0
4	3	0
5	3	0
6	3	0
7	3	992
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	1955
14	3	0
15	3	711
16	3	513
17	3	0
18	3	1323
19	3	0
20	3	0
21	3	1323
22	3	992
23	3	2183
24	3	0
]
#param gmaxC[*,*,*]:   1 	:=
gmaxC= [
1	1	576
2	1	576
3	1	0
4	1	0
5	1	0
6	1	0
7	1	900
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	1773
14	1	0
15	1	645
16	1	465
17	1	0
18	1	1200
19	1	0
20	1	0
21	1	1200
22	1	900
23	1	1980
24	1	0
1	2	605
2	2	605
3	2	0
4	2	0
5	2	0
6	2	0
7	2	945
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	1862
14	2	0
15	2	677
16	2	488
17	2	0
18	2	1260
19	2	0
20	2	0
21	2	1260
22	2	945
23	2	2079
24	2	0
1	3	635
2	3	635
3	3	0
4	3	0
5	3	0
6	3	0
7	3	992
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	1955
14	3	0
15	3	711
16	3	513
17	3	0
18	3	1323
19	3	0
20	3	0
21	3	1323
22	3	992
23	3	2183
24	3	0
]
#param:     Ol: fmax  fmaxC    x    cst   n0 nmax :=
lineas= [
1	2	175	175	0.0139	3.0	1	5
1	3	175	175	0.2112	55.0	1	5
1	5	175	175	0.0845	22.0	1	5
2	4	175	175	0.1267	33.0	1	5
2	6	175	175	0.192	50.0	1	5
3	9	175	175	0.119	31.0	1	5
3	24	400	400	0.0839	50.0	1	5
4	9	175	175	0.1037	27.0	1	5
5	10	175	175	0.0883	23.0	1	5
6	10	175	175	0.0605	16.0	1	5
7	8	175	175	0.0614	16.0	1	5
8	9	175	175	0.1651	43.0	1	5
8	10	175	175	0.1651	43.0	1	5
9	11	400	400	0.0839	50.0	1	5
9	12	400	400	0.0839	50.0	1	5
10	11	400	400	0.0839	50.0	1	5
10	12	400	400	0.0839	50.0	1	5
11	13	500	500	0.0476	66.0	1	5
11	14	500	500	0.0418	58.0	1	5
12	13	500	500	0.0476	66.0	1	5
12	23	500	500	0.0966	134.0	1	5
13	23	500	500	0.0865	120.0	1	5
14	16	500	500	0.0389	54.0	1	5
15	16	500	500	0.0173	24.0	1	5
15	21	500	500	0.049	68.0	2	5
15	24	500	500	0.0519	72.0	1	5
16	17	500	500	0.0259	36.0	1	5
16	19	500	500	0.0231	32.0	1	5
17	18	500	500	0.0144	20.0	1	5
17	22	500	500	0.1053	146.0	1	5
